time,strategy,exchange,symbol,side,sec_type,type,status,price,filled_quantity,multiplier,trade_cost,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration
2020-07-24 10:13:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3006,1,0.0,gtc,,0.0,1,
2020-07-24 10:14:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3059,1,0.0,gtc,,0.0,1,
2020-07-24 10:15:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3114,1,0.0,gtc,,0.0,1,
2020-07-24 10:16:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3170,1,0.0,gtc,,0.0,1,
2020-07-24 10:17:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3226,1,0.0,gtc,,0.0,1,
2020-07-24 10:18:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3284,1,0.0,gtc,,0.0,1,
2020-07-24 10:19:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3343,1,0.0,gtc,,0.0,1,
2020-07-24 10:20:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3403,1,0.0,gtc,,0.0,1,
2020-07-24 10:21:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3464,1,0.0,gtc,,0.0,1,
2020-07-24 10:22:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3526,1,0.0,gtc,,0.0,1,
2020-07-24 10:23:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3589,1,0.0,gtc,,0.0,1,
2020-07-24 10:24:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3653,1,0.0,gtc,,0.0,1,
2020-07-24 10:25:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3718,1,0.0,gtc,,0.0,1,
2020-07-24 10:26:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3785,1,0.0,gtc,,0.0,1,
2020-07-24 10:27:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3852,1,0.0,gtc,,0.0,1,
2020-07-24 10:28:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3921,1,0.0,gtc,,0.0,1,
2020-07-24 10:29:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,3991,1,0.0,gtc,,0.0,1,
2020-07-24 10:30:00-04:00,FreshTrading,,AAPL,sell,stock,market,fill,92.61499786376953,4063,1,0.0,gtc,,0.0,1,
